MutationType	Sig ID1	Sig ID2	Sig ID3
1:Del:C:0	0.0000	0.0000	0.0043
1:Del:C:1	0.0042	0.0245	0.0958
1:Del:C:2	0.0001	0.0043	0.0261
1:Del:C:3	0.0009	0.0041	0.0087
1:Del:C:4	0.0011	0.0038	0.0044
1:Del:C:5	0.0053	0.0068	0.0036
1:Del:T:0	0.0007	0.0000	0.0033
1:Del:T:1	0.0018	0.0155	0.0681
1:Del:T:2	0.0015	0.0115	0.0385
1:Del:T:3	0.0021	0.0179	0.0282
1:Del:T:4	0.0058	0.0288	0.0183
1:Del:T:5	0.7451	0.2339	0.0002
1:Ins:C:0	0.0043	0.0070	0.0134
1:Ins:C:1	0.0000	0.0016	0.0091
1:Ins:C:2	0.0002	0.0006	0.0047
1:Ins:C:3	0.0003	0.0011	0.0026
1:Ins:C:4	0.0003	0.0019	0.0023
1:Ins:C:5	0.0035	0.0230	0.0024
1:Ins:T:0	0.0046	0.0088	0.0146
1:Ins:T:1	0.0000	0.0046	0.0207
1:Ins:T:2	0.0004	0.0042	0.0093
1:Ins:T:3	0.0004	0.0055	0.0061
1:Ins:T:4	0.0006	0.0143	0.0041
1:Ins:T:5	0.1210	0.4619	0.0000
2:Del:R:0	0.0113	0.0141	0.0883
2:Del:R:1	0.0002	0.0010	0.0070
2:Del:R:2	0.0002	0.0006	0.0023
2:Del:R:3	0.0010	0.0000	0.0003
2:Del:R:4	0.0046	0.0000	0.0000
2:Del:R:5	0.0209	0.0000	0.0000
3:Del:R:0	0.0015	0.0051	0.0284
3:Del:R:1	0.0003	0.0008	0.0051
3:Del:R:2	0.0001	0.0000	0.0006
3:Del:R:3	0.0004	0.0000	0.0000
3:Del:R:4	0.0004	0.0000	0.0000
3:Del:R:5	0.0005	0.0000	0.0000
4:Del:R:0	0.0033	0.0049	0.0422
4:Del:R:1	0.0001	0.0001	0.0025
4:Del:R:2	0.0001	0.0000	0.0004
4:Del:R:3	0.0001	0.0000	0.0002
4:Del:R:4	0.0001	0.0000	0.0001
4:Del:R:5	0.0000	0.0000	0.0000
5:Del:R:0	0.0114	0.0061	0.0969
5:Del:R:1	0.0021	0.0000	0.0038
5:Del:R:2	0.0008	0.0000	0.0012
5:Del:R:3	0.0001	0.0000	0.0006
5:Del:R:4	0.0000	0.0000	0.0004
5:Del:R:5	0.0000	0.0000	0.0002
2:Ins:R:0	0.0004	0.0112	0.0275
2:Ins:R:1	0.0005	0.0007	0.0081
2:Ins:R:2	0.0006	0.0007	0.0029
2:Ins:R:3	0.0003	0.0006	0.0009
2:Ins:R:4	0.0005	0.0015	0.0002
2:Ins:R:5	0.0116	0.0168	0.0006
3:Ins:R:0	0.0008	0.0023	0.0107
3:Ins:R:1	0.0005	0.0004	0.0056
3:Ins:R:2	0.0001	0.0002	0.0009
3:Ins:R:3	0.0001	0.0001	0.0001
3:Ins:R:4	0.0001	0.0001	0.0001
3:Ins:R:5	0.0011	0.0009	0.0002
4:Ins:R:0	0.0001	0.0037	0.0166
4:Ins:R:1	0.0010	0.0005	0.0060
4:Ins:R:2	0.0000	0.0001	0.0005
4:Ins:R:3	0.0001	0.0002	0.0003
4:Ins:R:4	0.0001	0.0004	0.0005
4:Ins:R:5	0.0031	0.0023	0.0003
5:Ins:R:0	0.0000	0.0064	0.0354
5:Ins:R:1	0.0016	0.0011	0.0102
5:Ins:R:2	0.0002	0.0000	0.0019
5:Ins:R:3	0.0001	0.0000	0.0010
5:Ins:R:4	0.0001	0.0001	0.0009
5:Ins:R:5	0.0005	0.0003	0.0005
2:Del:M:1	0.0012	0.0058	0.0284
3:Del:M:1	0.0009	0.0078	0.0244
3:Del:M:2	0.0008	0.0020	0.0095
4:Del:M:1	0.0002	0.0053	0.0223
4:Del:M:2	0.0004	0.0029	0.0128
4:Del:M:3	0.0001	0.0002	0.0036
5:Del:M:1	0.0046	0.0049	0.0578
5:Del:M:2	0.0025	0.0014	0.0224
5:Del:M:3	0.0007	0.0008	0.0097
5:Del:M:4	0.0004	0.0002	0.0035
5:Del:M:5	0.0008	0.0000	0.0043
