Signature	Subtype	proportion	exposure
D1	U-CLL	14.102564102564102	0
D2	U-CLL	29.48717948717949	0
D3	U-CLL	70.51282051282051	50
D4	U-CLL	32.05128205128205	0
ID1	U-CLL	73.07692307692307	7.747128557590295
ID2	U-CLL	69.23076923076923	7.478449949522405
ID3	U-CLL	100	82.1203007518797
K1	U-CLL	32.05128205128205	100
K2	U-CLL	6.41025641025641	0
Kapobec	U-CLL	0	0
S1	U-CLL	100	13.093080281789415
S10	U-CLL	88.46153846153845	5.632043819412027
S11	U-CLL	96.15384615384616	4.737285310034111
S12	U-CLL	97.43589743589743	6.158026348827319
S13	U-CLL	96.15384615384616	2.871046403098849
S14	U-CLL	94.87179487179486	1.226574931536053
S15	U-CLL	94.87179487179486	1.4825689739203562
S16	U-CLL	96.15384615384616	2.0505061497253463
S2	U-CLL	100	11.32616458556181
S3	U-CLL	76.92307692307693	1.1008262756064306
S4	U-CLL	79.48717948717949	0.6022820309294004
S5	U-CLL	70.51282051282051	1.0592999054890242
S6	U-CLL	100	15.894388795237234
S7	U-CLL	100	19.67036489504185
S8	U-CLL	89.74358974358975	2.136696910925569
S9	U-CLL	100	8.361845720457545
D1	M-CLL	65.27777777777779	50
D2	M-CLL	15.277777777777779	0
D3	M-CLL	48.61111111111111	0
D4	M-CLL	44.44444444444444	0
ID1	M-CLL	62.5	5.866708385481852
ID2	M-CLL	55.55555555555556	26.74937965260546
ID3	M-CLL	100	60.24305555555556
K1	M-CLL	95.83333333333334	40.625
K2	M-CLL	95.83333333333334	59.375
Kapobec	M-CLL	0	0
S1	M-CLL	100	9.138777338136578
S10	M-CLL	93.05555555555556	4.880952380952381
S11	M-CLL	93.05555555555556	3.781789364942713
S12	M-CLL	98.61111111111111	6.332207412231327
S13	M-CLL	95.83333333333334	1.8263268152921972
S14	M-CLL	95.83333333333334	1.9933275003293303
S15	M-CLL	97.22222222222221	1.2467836141263007
S16	M-CLL	98.61111111111111	1.4918520563771214
S2	M-CLL	97.22222222222221	11.129858899620505
S3	M-CLL	100	14.027477264429317
S4	M-CLL	100	3.946226077014309
S5	M-CLL	90.27777777777779	4.0612285600319105
S6	M-CLL	100	7.830514024806195
S7	M-CLL	100	12.765316874905917
S8	M-CLL	93.05555555555556	3.3461052814908347
S9	M-CLL	97.22222222222221	7.3483307725783105
D1	cMCL	22.82608695652174	0
D2	cMCL	53.2608695652174	33.97435897435897
D3	cMCL	68.47826086956522	36.93181818181819
D4	cMCL	32.608695652173914	0
ID1	cMCL	97.82608695652173	23.461180923291444
ID2	cMCL	97.82608695652173	17.956349206349206
ID3	cMCL	100	51.809646692273844
K1	cMCL	22.82608695652174	18.333333333333332
K2	cMCL	20.652173913043477	1.971326164874552
Kapobec	cMCL	16.304347826086957	0
S1	cMCL	98.91304347826086	10.855168442268932
S10	cMCL	97.82608695652173	11.876075731497417
S11	cMCL	92.3913043478261	2.9681201905459873
S12	cMCL	94.56521739130434	2.892663712456918
S13	cMCL	98.91304347826086	3.8061254831995237
S14	cMCL	89.13043478260869	0.8509389671361502
S15	cMCL	96.73913043478261	1.1781506604784007
S16	cMCL	97.82608695652173	1.917098445595855
S2	cMCL	98.91304347826086	7.129014396456257
S3	cMCL	93.47826086956522	2.16787838730998
S4	cMCL	97.82608695652173	0.9555930297920181
S5	cMCL	88.04347826086956	2.8386734120292303
S6	cMCL	98.91304347826086	21.131855309218203
S7	cMCL	97.82608695652173	14.14235705950992
S8	cMCL	96.73913043478261	2.588686481303931
S9	cMCL	95.65217391304348	5.233422539399346
D1	nnMCL	41.17647058823529	0
D2	nnMCL	5.88235294117647	0
D3	nnMCL	70.58823529411765	50
D4	nnMCL	47.05882352941176	0
ID1	nnMCL	100	9.774436090225564
ID2	nnMCL	100	59.375
ID3	nnMCL	100	25.41436464088398
K1	nnMCL	88.23529411764706	32.69230769230769
K2	nnMCL	94.11764705882352	56.896551724137936
Kapobec	nnMCL	5.88235294117647	0
S1	nnMCL	100	8.072852571991138
S10	nnMCL	94.11764705882352	5.013309671694765
S11	nnMCL	100	3.9832869080779947
S12	nnMCL	100	3.904170363797693
S13	nnMCL	100	2.031488065007618
S14	nnMCL	94.11764705882352	1.9812680115273775
S15	nnMCL	100	1.1535048802129548
S16	nnMCL	100	1.725521669341894
S2	nnMCL	100	10.898576512455517
S3	nnMCL	100	12.366548042704627
S4	nnMCL	100	5.200367084735393
S5	nnMCL	100	2.0172910662824206
S6	nnMCL	100	14.836341388803916
S7	nnMCL	100	16.312199036918138
S8	nnMCL	94.11764705882352	4.675324675324675
S9	nnMCL	94.11764705882352	6.1249691281797976
D1	BL	42.10526315789473	0
D2	BL	52.63157894736842	24.358974358974358
D3	BL	34.21052631578947	0
D4	BL	50	8
ID1	BL	94.73684210526315	35.590655876756614
ID2	BL	100	47.9826901802564
ID3	BL	97.36842105263158	18.60439226798907
K1	BL	94.73684210526315	76.0262725779967
K2	BL	86.8421052631579	23.973727422003282
Kapobec	BL	0	0
S1	BL	100	10.30610642624012
S10	BL	94.73684210526315	7.166561314791403
S11	BL	94.73684210526315	4.297265334222251
